course,EX,A,B,C,D,P,F,EX%,A%,B%,C%,D%,P%,F%,session,Avg CGPA
AE51007-COMBUSTION PROCESSES IN JET ENGINES,3,3,4,1,0,0,0,27.27,27.27,36.36,9.09,0,0,0,Spring21,8.73
AE51010-EXPERIMENTAL STRESS ANALYSIS,2,3,3,1,0,0,0,22.22,33.33,33.33,11.11,0,0,0,Autumn20,8.67
AE51017-ADVANCED GAS DYNAMICS,1,2,0,0,1,0,0,25,50,0,0,25,0,0,Autumn20,8.5
AE51018-INDUSTRIAL AERODYNAMICS,7,4,1,0,0,0,0,58.33,33.33,8.33,0,0,0,0,Spring21,9.5
AE51019-SMART STRUCTURES,1,1,4,0,0,1,0,14.29,14.29,57.14,0,0,14.29,0,Spring21,8
AE51019-SMART STRUCTURES,0,0,0,0,0,0,1,0,0,0,0,0,0,100,Autumn20,4
AE51026-HYPERSONIC AERODYNAMICS,1,4,2,0,2,0,0,11.11,44.44,22.22,0,22.22,0,0,Spring21,8.22
AE60006-,3,2,1,0,0,1,0,42.86,28.57,14.29,0,0,14.29,0,Spring21,8.71
AE60006-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
AE60030-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
AE60037-,0,0,1,0,0,0,0,0,0,100,0,0,0,0,Autumn20,8
AE61002-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Spring21,5
AE61007-,3,5,1,2,0,0,0,27.27,45.45,9.09,18.18,0,0,0,Autumn20,8.82
AE61032-,0,0,0,0,0,1,0,0,0,0,0,0,100,0,Autumn20,5
AG20101-CROP PRODUCTION TECHNOLOGY,7,15,10,5,9,9,1,12.5,26.79,17.86,8.93,16.07,16.07,1.79,Autumn18,7.55
AG20101-CROP PRODUCTION TECHNOLOGY,4,6,14,18,9,7,0,6.9,10.34,24.14,31.03,15.52,12.07,0,Autumn19,7.26
AG20101-CROP PRODUCTION TECHNOLOGY,8,24,14,8,0,0,0,14.81,44.44,25.93,14.81,0,0,0,Autumn20,8.59
AG20103-SOIL TECHNOLOGY,3,7,19,11,7,9,0,5.36,12.5,33.93,19.64,12.5,16.07,0,Autumn18,7.3
AG20103-SOIL TECHNOLOGY,9,18,16,9,2,1,0,16.36,32.73,29.09,16.36,3.64,1.82,0,Autumn20,8.36
AG20103-SOIL TECHNOLOGY,3,7,14,16,13,5,0,5.17,12.07,24.14,27.59,22.41,8.62,0,Autumn19,7.24
AG29001-CROP PRODUCTION TECHNOLOGY LAB.,15,24,13,3,1,0,0,26.79,42.86,23.21,5.36,1.79,0,0,Autumn18,8.88
AG29001-CROP PRODUCTION TECHNOLOGY LAB.,14,20,10,5,2,1,1,26.42,37.74,18.87,9.43,3.77,1.89,1.89,Autumn19,8.6
AG29001-CROP PRODUCTION TECHNOLOGY LAB.,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
AG29003-SOIL TECHNOLOGY LAB.,8,40,8,0,0,0,0,14.29,71.43,14.29,0,0,0,0,Autumn18,9
AG29003-SOIL TECHNOLOGY LAB.,14,18,17,3,0,3,1,25,32.14,30.36,5.36,0,5.36,1.79,Autumn19,8.54
AG29003-SOIL TECHNOLOGY LAB.,0,0,0,0,0,0,0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,Autumn20,#DIV/0!
AG29004-AGRICULTURAL BIOTECHNOLOGY LAB.,0,8,28,17,3,0,0,0,14.29,50,30.36,5.36,0,0,Spring19,7.73
AG29004-AGRICULTURAL BIOTECHNOLOGY LAB.,8,30,20,1,0,0,0,13.56,50.85,33.9,1.69,0,0,0,Spring20,8.76
AG29004-AGRICULTURAL BIOTECHNOLOGY LAB.,19,28,6,0,1,0,0,35.19,51.85,11.11,0,1.85,0,0,Spring21,9.19
AG31001-AGRICULTURAL MACHINERY,5,19,17,11,2,0,0,9.26,35.19,31.48,20.37,3.7,0,0,Autumn19,8.26
AG31001-AGRICULTURAL MACHINERY,6,19,11,10,2,2,0,12,38,22,20,4,4,0,Autumn20,8.22
AG31002-TRACTOR & POWER SYSTEMS,7,15,24,6,1,3,0,12.5,26.79,42.86,10.71,1.79,5.36,0,Spring20,8.21
